Position,Company,City,Posted,Company Industry,JobText,Job Role,Career Level,Years of Experience,Degree,Soft_Skills,Hard_Skills
Engineer - Automation,Tatweer Petroleum,"Manama, Bahrain",30+ days ago,General Engineering Consultancy,"job description - engineer - automation (2000003d) job description engineer - automation - ( 2000003d ) description * demonstrates experience leading teams from project initiation through post-start-up support * demonstrates experience with operational troubleshooting and technical support and carrying out engineering calculations * ensures the implementation of sound qa practices throughout the project engineering process * reviews key project deliverables * assesses manpower requirements to meet workload and also develops subordinates as required. * accountable for tracking key documents for compliance with integrity and related programs * accountable for maintaining accurate and complete facilities technical information. * program ladder logic and structured text on multiple plc controller platforms * interface and integrate different systems using csv and sql * develops process automation system architecture utilizing programmable logic controllers (plc), human machine interfaces (hmi) and * supervisory control and data acquisition systems (scada). * installs, configures, upgrades, troubleshoots and maintains the various field automation systems. qualifications * bsc degree in electronics engineering or acceptable equivalent * 5-10 years’ experience job : engineer-automation services organization : business schedule : regular shift : standard job type : full-time day job job posting : 15-jun-2022, 9:54:17 am
nan",,,Unspecified,Unspecified, troubleshooting,
Engineer - Automation,Tatweer Petroleum,"Manama, Bahrain",30+ days ago,General Engineering Consultancy,"job description - engineer - automation (2000003d) job description engineer - automation - ( 2000003d ) description * demonstrates experience leading teams from project initiation through post-start-up support * demonstrates experience with operational troubleshooting and technical support and carrying out engineering calculations * ensures the implementation of sound qa practices throughout the project engineering process * reviews key project deliverables * assesses manpower requirements to meet workload and also develops subordinates as required. * accountable for tracking key documents for compliance with integrity and related programs * accountable for maintaining accurate and complete facilities technical information. * program ladder logic and structured text on multiple plc controller platforms * interface and integrate different systems using csv and sql * develops process automation system architecture utilizing programmable logic controllers (plc), human machine interfaces (hmi) and * supervisory control and data acquisition systems (scada). * installs, configures, upgrades, troubleshoots and maintains the various field automation systems. qualifications * bsc degree in electronics engineering or acceptable equivalent * 5-10 years’ experience job : engineer-automation services organization : business schedule : regular shift : standard job type : full-time day job job posting : 15-jun-2022, 9:54:17 am
nan",,,Unspecified,Unspecified, organizational skills,
Business Development Associate (Post Sales),CTM360,"Manama, Bahrain",30+ days ago,Other Business Support Services,"company descriptionctm360®, powered by edx labs, offers 24 x 7 x 365 digital risk protection to detect and respond to vulnerabilities and threats in cyberspace. via a consolidated digital risk protection stack, ctm360® provides external attack surface management, cyber threat intelligence, corporate &amp; vip brand protection, social media monitoring, online anti-fraud, data leakage, threat hunting, and neutralizing in cyberspace, anti-phishing, and takedowns on an unlimited basis. noteworthy statistics include 2.2 million cyber incidents managed via threat hunting &amp; neutralizing, 3 million digital assets audited via digital risk management, 15 billion accounts indexed in the hacked data archive, 2000+ executives protected via vip brand protection. ctm360 has been listed as the top 14 digital risk protection companies globally by forrester in 2018. ctm360 has recently been recognized as digital risk protection (drps) and external attack surface management (easm) vendors in gartner’s latest report on “emerging technology and trends impact radar: security” in 2021.job descriptionthe business development associate (post sales) contributes to the achievement of sales targets by supporting sales representatives, coordinating sales activities, and maintaining good customer relationships. the responsibilities include supporting sales, ensuring order satisfaction, coordinating with other departments, handling contractual agreements &amp; nda’s, and promoting customer satisfaction.the candidate must be highly motivated &amp; driven and should be able to dive right into our start-up work culture, understand our sales process &amp; roadmap for the future and take control of the assigned duties and responsibilities. he/she is expected to be proactive, positive, and passionate about the company's offerings and how they create value for clients, take initiatives and be creative in determining different methods for success and develop a working plan of action in their respective function.primary objectivesbuild and establish good work relationships with clients to facilitate increased patronage and revenue.identify and prioritize accounts based on outstanding issues, growth opportunity, strategic value and renewal timeframe. maintaining an accurate and updated database of client account information as well as business development related documentation.ensure high customer satisfaction by liaising with the customer success team and  manage customer health status on a regular basis to ensure that our clients realize and achieve our value proposition.act as the main point of contact between existing clients and internal teams.overseeing sales process and facilitating order fulfillment.assist the team in the vendor registration process, rfp/rfq submissions during the sales process and perform other duties to support the team, as needed.review and negotiate contracts during the renewal process and meet the established deadlines to conclude the process in a timely manner.work collaboratively with various internal teams/individuals for the best interest of the customer (technical team, sales, etc.)map and track engagement of our existing clients across our various technology platforms and provide timely updates to the management.provide visibility and report metrics for the bd team &amp; management across the list of clients and the status of their accounts. to provide regular updates to the management on the post sales process.note: kindly respond to the below questions via email by attaching your cv to careers@ctm360. comwhat do you know about our company? and why do you want to work here?explain the steps you take, from the beginning of the sales process to the end.how can you establish a long-lasting relationship with a client?do you have experience with crm software? if yes, which tools have you used? qualifications 2  years experience in it &amp; security sales (preferred)bachelor’s degree in business or management good administrative, organizational, and problem-solving skills.excellent communication and customer service skills.the ability to multitask, work in a fast-paced environment, and meet deadlines with a high level of efficiency and accuracy.understanding the b2b sales process and negotiation.experience with crm software (preferred).additional informationskillsunderstanding the b2b sales process and negotiationexcellent verbal, written &amp; communication skillsexperience with crm software (preferred)
nan",,,Unspecified,Unspecified,sales,
Engagement Manager,Tarabut Gateway,Bahrain,30+ days ago,Management Consulting,"engagement manager at tarabut gateway bahrain based: bahrain (with remote working) reporting to: senior engagement manager follow: you can find us on about tg... tarabut gateway (tg) is the first and largest regulated open banking platform in the mena, with offices in the kingdom of bahrain and the uae. tg connects a regional network of banks and fintechs via a universal application programming interface (api). by offering tools that allow the facilitation and distribution of personalized financial services, tg enables financial institutions to build a new world of financial services in mena. from our earliest days, we quickly became the region’s first applicant to a ‘regulatory sandbox’ through the central bank of bahrain. the clear objective is to build an infrastructure that accelerates an industry transformation. a multisided platform that connects banks, fintechs, merchants, in the mena region all on one platform, enabling a new realm of partnerships to be forged. fast forward to today, tg is in partnership with the largest banks in many countries. our products are being built in bahrain and ready to be shipped to other markets. at present we are focusing on scaling up our teams to continue to better serve the lives of all 550 million people in the region. this is the beginning of our journey, and as we see early stage fintech start to emerge in other jurisdictions, there is no better time than now for the tg platform to play its part in driving this new realm of financial services in mena. tg has already secured $25million investment in 2021 alone, including breaking records by securing the largest fintech seed round in mena history. investors include (but not limited) tiger global, target global and lumia capital. about team tg... working for tg could be the biggest challenge of your career! you will be exposed to every functions of the business, collaborate with inspiring colleagues that have unique ideas, and be given more autonomy than before to execute your ideas to scale. you will be challenged, held accountable and expected to run like it’s your own business curiosity is the gateway to learning. thinking differently is key to our success. we don’t like normal, we prefer to create new rules for the game and redefine the status quo by challenging conventional thinking. we have distributed teams in the uk, dubai, bahrain, saudi arabia and india. what you'll do... * tg compliance is a platform to enable banks and financial institutions to connect to a set of key capabilities offered by tg to enable them to be seamlessly compliant with open banking regulations and beyond removing the infrastructure complexity. tg enterprise offers a range of product and offerings for banks and financial institutions to enable their customers to have a 360 view of their accounts optimising the offering of open banking. * your role will support our enterprise and compliance customers. you'll responsible for coordinating and tracking progress for customer engagements and their external strategic initiatives.
* as engagement manager you'll be point of contact with customers to develop scope, requirements, use cases, deliverables and timing for new initiatives, while aligning internal co-ordination and communication with external stakeholder needs.
* you'll ensure that proposals issued have been fully costed and align to tg’s objectives.
* you'll build long term relationships with customers and develop and maintain a strong pipeline/output to agreed levels.
* you'll be collaborating cross-functionally including (but not limited to) engineering, commercial, product, and risk &amp; compliance.
* you'll highlight and own inter-dependencies including oversight of any risks and issues that need addressing across different units.
* you align teams to put the customer first, and be razor focussed on delivering value to the customer.
* you'll be able to implement key account/engagement management principles and practices appropriately.
* we seek team players that have low ego but high ambition. you’ll want to join a mission driven company, building a world class customer experience, creating a market leading technology culture and inspiring high performing agile teams. requirements * track record of managing a portfolio of customers/clients
* strong technical account management/post-sales background in a technology company desirable
* excellent stakeholder management skills and ensuring great customer experience * experience supporting writing of rfps, capturing requirements, and developing use cases * experience designing, documenting and implementing change and control processes
* confident engaging with cross functional stakeholders at all levels and across geographies
* ability and experience to exercise sound judgement, problem solve, and continually determine priorities with minimal supervision
* experience handling an array of dependencies between teams
* experience identifying risks and issues and strong issue resolution capability
* experienced with tools such as jira, confluence, miro, msoffice suite, and trello
* excellent written and verbal communication
* experience with local and remote/distributed teams a plus
* experience within the fintech, payments, or open banking space desirable we're a remote first company where team work and collaboration has no barriers. we embrace diversity and encourage talent who bring a range of perspectives to apply for our roles even if you do not match every requirement in the list above. tg makes hiring decisions based on experience, aptitude, skill and sharing our company values. we will not discriminate with regards to any legally protected characteristics.
nan",,,Unspecified,Unspecified, management,
Engagement Manager,Tarabut Gateway,Bahrain,30+ days ago,Management Consulting,"engagement manager at tarabut gateway bahrain based: bahrain (with remote working) reporting to: senior engagement manager follow: you can find us on about tg... tarabut gateway (tg) is the first and largest regulated open banking platform in the mena, with offices in the kingdom of bahrain and the uae. tg connects a regional network of banks and fintechs via a universal application programming interface (api). by offering tools that allow the facilitation and distribution of personalized financial services, tg enables financial institutions to build a new world of financial services in mena. from our earliest days, we quickly became the region’s first applicant to a ‘regulatory sandbox’ through the central bank of bahrain. the clear objective is to build an infrastructure that accelerates an industry transformation. a multisided platform that connects banks, fintechs, merchants, in the mena region all on one platform, enabling a new realm of partnerships to be forged. fast forward to today, tg is in partnership with the largest banks in many countries. our products are being built in bahrain and ready to be shipped to other markets. at present we are focusing on scaling up our teams to continue to better serve the lives of all 550 million people in the region. this is the beginning of our journey, and as we see early stage fintech start to emerge in other jurisdictions, there is no better time than now for the tg platform to play its part in driving this new realm of financial services in mena. tg has already secured $25million investment in 2021 alone, including breaking records by securing the largest fintech seed round in mena history. investors include (but not limited) tiger global, target global and lumia capital. about team tg... working for tg could be the biggest challenge of your career! you will be exposed to every functions of the business, collaborate with inspiring colleagues that have unique ideas, and be given more autonomy than before to execute your ideas to scale. you will be challenged, held accountable and expected to run like it’s your own business curiosity is the gateway to learning. thinking differently is key to our success. we don’t like normal, we prefer to create new rules for the game and redefine the status quo by challenging conventional thinking. we have distributed teams in the uk, dubai, bahrain, saudi arabia and india. what you'll do... * tg compliance is a platform to enable banks and financial institutions to connect to a set of key capabilities offered by tg to enable them to be seamlessly compliant with open banking regulations and beyond removing the infrastructure complexity. tg enterprise offers a range of product and offerings for banks and financial institutions to enable their customers to have a 360 view of their accounts optimising the offering of open banking. * your role will support our enterprise and compliance customers. you'll responsible for coordinating and tracking progress for customer engagements and their external strategic initiatives.
* as engagement manager you'll be point of contact with customers to develop scope, requirements, use cases, deliverables and timing for new initiatives, while aligning internal co-ordination and communication with external stakeholder needs.
* you'll ensure that proposals issued have been fully costed and align to tg’s objectives.
* you'll build long term relationships with customers and develop and maintain a strong pipeline/output to agreed levels.
* you'll be collaborating cross-functionally including (but not limited to) engineering, commercial, product, and risk &amp; compliance.
* you'll highlight and own inter-dependencies including oversight of any risks and issues that need addressing across different units.
* you align teams to put the customer first, and be razor focussed on delivering value to the customer.
* you'll be able to implement key account/engagement management principles and practices appropriately.
* we seek team players that have low ego but high ambition. you’ll want to join a mission driven company, building a world class customer experience, creating a market leading technology culture and inspiring high performing agile teams. requirements * track record of managing a portfolio of customers/clients
* strong technical account management/post-sales background in a technology company desirable
* excellent stakeholder management skills and ensuring great customer experience * experience supporting writing of rfps, capturing requirements, and developing use cases * experience designing, documenting and implementing change and control processes
* confident engaging with cross functional stakeholders at all levels and across geographies
* ability and experience to exercise sound judgement, problem solve, and continually determine priorities with minimal supervision
* experience handling an array of dependencies between teams
* experience identifying risks and issues and strong issue resolution capability
* experienced with tools such as jira, confluence, miro, msoffice suite, and trello
* excellent written and verbal communication
* experience with local and remote/distributed teams a plus
* experience within the fintech, payments, or open banking space desirable we're a remote first company where team work and collaboration has no barriers. we embrace diversity and encourage talent who bring a range of perspectives to apply for our roles even if you do not match every requirement in the list above. tg makes hiring decisions based on experience, aptitude, skill and sharing our company values. we will not discriminate with regards to any legally protected characteristics.
nan",,,Unspecified,Unspecified, verbal and written communication skills,
Front Desk Supervisor,Fairmont Austin,"Manama, Bahrain",30+ days ago,Other Business Support Services,"front desk supervisor royal saray resort managed by accor location manama, al ‘āşimah, bahrain category rooms fairmont posted date 19/06/2022 job start date : 19/06/2022 job type permanent full-time job description front desk supervisor supervisor reliable and engaging. as a rooms supervisor, you will demonstrate the essence of creating an exceptional guest journey. you are committed to taking care of the guests from the moment they arrive through to their departure. what is in it for you: * employee benefit card offering discounted rates in accor worldwide
* learning programs through our academies
* opportunity to develop your talent and grow within your property and across the world!
* ability to make a difference through our corporate social responsibility activities, like planet 21 what you will be doing: * lead and supervise the day-to-day operation of the department to ensure service standards are followed with friendly and engaging service
* handle guest concerns and react quickly, tracking and notifying proper areas to guarantee memorable moments for our guests
* ensure employees are informed daily about priorities to personalize service your experience and skills include: * service focused personality is essential * previous experience in a similar leadership role is an asset
* prior experience working with opera or a related system
* strong interpersonal and problem solving abilities and the ability to lead by example our commitment to diversity &amp; inclusion: we are an inclusive company and our ambition is to attract, recruit and promote diverse talent. we are far more than a worldwide leader. we welcome you as you are and you can find a job and brand that matches your personality. we support you to grow and learn every day, making sure that work brings purpose to your life, so that during your journey with us, you can continue to explore accor’s limitless possibilities. by joining accor, every chapter of your story is yours to write and together we can imagine tomorrow's hospitality. discover the life that awaits you at accor, visit do what you love, care for the world, dare to challenge the status quo! #belimitless
nan",,,Unspecified,Unspecified, leadership,
Lifeguard,Rotana,"Manama, Bahrain",30+ days ago,Hospitality & Accomodation,"we are currently looking for young, dynamic, self motivated recreation professionals who want to move their careers forward.as a lifeguard you are responsible to monitor activities in the swimming area to prevent accidents and provide assistance to swimmers, whereby your role will include key responsibilities as:• caution swimmers regarding unsafe areas• rescue swimmers in danger of drowning and administer first aid• maintain order in swimming areas• determine the chlorine content and ph value of water, using water testing kit• conduct or officiate swimming meets and give swimming instructions• ensure the swimming pool is clean.• ensure the sun loungers are clean, in the correct position and in working order• regularly check the temperature of the pool to ensure they are at set standard• ensure the pool deck is clean and free of any debris during the operation• ensure that the umbrellas are fixed properly to their units• ensure that when the umbrellas are not in use, they are tied down for safety precautions• provide emergency care and treatment as required until the arrival of emergency medical services• have full knowledge of club’s facilities, timings, promotions and prices
nan",Other,,Unspecified,Unspecified,,
Front Desk Supervisor,AccorHotels,"Manama, Bahrain",30+ days ago,Other Business Support Services,"front desk supervisor royal saray resort managed by accor location manama, al ‘āşimah, bahrain category rooms fairmont posted date 19/06/2022 job start date : 19/06/2022 job type permanent full-time job description front desk supervisor supervisor reliable and engaging. as a rooms supervisor, you will demonstrate the essence of creating an exceptional guest journey. you are committed to taking care of the guests from the moment they arrive through to their departure. what is in it for you: * employee benefit card offering discounted rates in accor worldwide
* learning programs through our academies
* opportunity to develop your talent and grow within your property and across the world!
* ability to make a difference through our corporate social responsibility activities, like planet 21 what you will be doing: * lead and supervise the day-to-day operation of the department to ensure service standards are followed with friendly and engaging service
* handle guest concerns and react quickly, tracking and notifying proper areas to guarantee memorable moments for our guests
* ensure employees are informed daily about priorities to personalize service your experience and skills include: * service focused personality is essential * previous experience in a similar leadership role is an asset
* prior experience working with opera or a related system
* strong interpersonal and problem solving abilities and the ability to lead by example our commitment to diversity &amp; inclusion: we are an inclusive company and our ambition is to attract, recruit and promote diverse talent. we are far more than a worldwide leader. we welcome you as you are and you can find a job and brand that matches your personality. we support you to grow and learn every day, making sure that work brings purpose to your life, so that during your journey with us, you can continue to explore accor’s limitless possibilities. by joining accor, every chapter of your story is yours to write and together we can imagine tomorrow's hospitality. discover the life that awaits you at accor, visit do what you love, care for the world, dare to challenge the status quo! #belimitless
nan",,,Unspecified,Unspecified, leadership,
Shift Controller,Harsco Corporation,"Manama, Bahrain",24 days ago,Other Business Support Services,"shift controller * po box 519, manama , building 1430, road 5138, block 951 , askar, askar, bahrain * full-time company description harsco is recognized for technical leadership and worldwide experience in virtually all major aspects of railway track maintenance. we enable railroads to operate at peak efficiency over smooth, precisely aligned track that increases railway safety while reducing fuel consumption and other key operating costs. our broad array of equipment and services support every type of railway operator, from major national and international railway systems, to short lines and high-speed urban transit networks. job description * reliable &amp; safe operation of salt slag continuous processing plant &amp; monitoring on distributed control system/scada.
* plant startup/shutdown &amp; troubleshooting of crushing plant, two lines of wet processing plant &amp; associated common systems as per the standard operating procedures.
* operation of hazardous gas related systems, chemicals &amp; stack emission monitoring &amp; control.
* first line decision maker during process upsets, fire &amp; safety related actions &amp; associated communication with internal &amp; external agencies as per set policies.
* emergency actions with respect to health &amp; safety of personnel &amp; equipment as per the standard operating procedures.
* plant optimization &amp; operating the plant for set kpi’s.
* interpretation of chemical analysis &amp; action accordingly.
* receive consignments of materials/chemicals &amp; authorize based on quality analysis. monitor the inventory &amp; initiate reorder requirements.
* adhere to company safety &amp; operational procedures as &amp; when updated.
* lead the shift operations &amp; make necessary manpower arrangements as &amp; when required.
* recording/logging of dcs data &amp; interpret the health of equipment or process &amp; initiate action.
* authorize for maintenance of equipment as per the work permit &amp; loto procedures.
* handover of complete plant status to the next shift controller to complete relieving duties.
* cover for operator or lab technician position as per the plant requirements. qualifications * basic knowledge of chemistry, physics, mathematics &amp; analytical skills
* basic knowledge of mechanical rotary equipment like pumps, blowers, rotary driers, burners, conveyors etc.
* basic knowledge of stationary equipment like scrubbers, cyclones, spray driers, packed beds etc.
* basic knowledge on material of construction, couplings, bearings etc.
* basic process control aspects, loops, modes, control valves, limit switches, solenoids, transmitters.
* data interpretation
* basic knowledge on personnel safety &amp; operational aspects of chemical plants.
* basic communication &amp; reporting protocols in english
* basic computer knowledge like ms word, excel
* ability to lead a shift team &amp; independent decision making. additional informationdisclaimer this job description has been designed to indicate the general nature and level of work performed by employees within this classification. it is not intended to contain or be interpreted as a comprehensive inventory of all duties, responsibilities, and qualifications required of employees assigned to this position. shift controller * po box 519, manama , building 1430, road 5138, block 951 , askar, askar, bahrain * full-time
nan",,,Unspecified,Unspecified,kpis,
Maintenance Administrator,"Kuwait Food Americana Co,",Bahrain,30+ days ago,"Catering, Food Service, & Restaurant","responsibilities for this position include:1. provides administrative support to the maintenance department.2. generation and distribution of maintenance, production and other pm's to responsible parties.3. updating and maintaining asset and preventive maintenance task information in servicemax4. tracking pm and work order data.5. managing communication and information flow, including sorting and processing of incoming mail and inquiries6. take meeting minutes where required7. organizing and coordinating pm activities with stakeholders. 8. analyzing downtime data to develop effective preventive maintenance procedures.9. gathering information to complete monthly reports for maintenance.10.  request deviations or corrective actions to the custodians when a work order has not been completed in a timely manner.11.  completing monthly kpi's for maintenance and production pm's and wo's.12.  coordinating contractor work along with unscheduled work.13.  distributing all required material to vendors/contractors before coming on site.14.  receiving monthly invoices from appointed contractors and submitting to finance department.
1. effective organizational, communication (verbal, written, presentation) and computer skills2. associated parts and maintenance/repair process3. associated parts and maintenance/repair process considered4. experience with ms-office5. computerized maintenance management systems",Administration,,Min: 2 Max: 5,Unspecified, management,
Civil Design Engineer (water),Stantec,"Manama, Bahrain",30+ days ago,Other Business Support Services,"20184brrequisition number: 20184br description:stantec bahrain is looking for a civil design engineer:the role involves working on projects associated with wastewater collection, water distribution, treated sewage effluent networks, storm water collection, environmental impact studies and water/wastewater treatment systems. this will involve undertaking investigations, data collection, planning, report development, design and tender document preparation activities. key responsibilities for this position include but are not limited to:prepare concept, preliminary and detailed designs for civil/water/wastewater/stormwater infrastructure • review, organize and analyze data received• develop design standards• develop reports summarizing the design• prepare and oversee design drawingspreparation of technical specifications, reports and documents • develop specifications, engineering analysis, technical reports, design calculations, and drawings on projects• manage project activities through the application of technical engineering planning, principles and techniques• develop cost estimates for project design and constructioncollaboration and working as part of a team • work in conjunction with peer engineers to solve project design problems, performing basic design calculations as required• liaison with teams working remotely from other parts of the world to facilitate completion of tasks, and projectfollow safe work practices and adhere to company guidelines and policies for planning and executing work in a safe manner. • complete all work in line with stantec core values and in accordance with the stantec quality systems and project quality procedures.• design for safety, i.e. construction design management.other duties as requested from time to time by the project manager. competencies:• 7 years of experience in design and in delivery of large-scale infrastructure projects within the consulting industry• good level of client service management, i.e. able to interface with clients and to build and maintain lasting, positive relationships with our clients• capable to analyze, assess, evaluate issues, complexities pertaining to projects / work packages and support the team lead in mitigating them in advance• rigorous attention to detail, able to understand and adopt workflows and commitment to personal professional development• flexible attitude to accepting different work assignments and pro-active attitude to execution / delivery• working towards chartered/professional engineer• be familiar with the water, wastewater, and flood mitigation design standards in gcc countries• international working experience – gcc region/europe/america (desired)• excellent command in english both written and spoken• the ability to manage a heavy workload, with a close attention to detail• full working knowledge of cad, esri gis and hydraulic modeling software (infowater, infosewer, watergems, sewergems and epanet)• the ability to work autonomously, reviewing your work on a regular basis while consistently meeting your objectives• strong team working capabilities. committed to working with all levels of management on a daily and ongoing basis• a proactive approach, working effectively in coordinating activities and complex tasks, taking professional responsibility in all matters• be of the highest caliber: punctual, attentive, and competent in adhering to stantec’s policies, procedures and working practicestitle:civil design engineer (water)qualifications:• 7 to 10 total years of experience• bachelor’s or master’s degree in civil or environmental engineering (or related)• chartered engineer or professional engineer (or working towards)• design experience in large-scale water/wastewater/tse/storm water systems• working knowledge in hydraulic modelling, model calibration, hydraulics of gravity and pressure networks, optioneering and outline design of hydraulic solutions• have excellent data manipulation abilities (ms excel, ms access)• good skills in gis and cad packages, i.e. qgis, arcgis and autocad\#li-middleeastemployment type: full-timejob type: regularjob category: civil engineeringabout stantec:we’re active members of the communities we serve. that’s why at stantec we always design with community in mind. we believe growing a great design company happens from the inside out. we look for people who are drawn to use every talent they possess, plus creativity, determination and a drive to do the extraordinary.the stantec community unites approximately 22,000 employees working in over 400 locations across six continents. we collaborate across disciplines and industries to bring projects to life. our work as architects, engineers, and consultants from initial project concept and planning through design, construction and commissioning is built on a solid history of success. so, when we take on a project, we see the opportunity to make a lasting connection with the people and places where we live and work. redefine your personal best. join us!location :bahrain-manamacountry:bahrainstate/province:bahraincity:manama
nan",,,Unspecified,Unspecified, management,gis
Civil Design Engineer (water),Stantec,"Manama, Bahrain",30+ days ago,Other Business Support Services,"20184brrequisition number: 20184br description:stantec bahrain is looking for a civil design engineer:the role involves working on projects associated with wastewater collection, water distribution, treated sewage effluent networks, storm water collection, environmental impact studies and water/wastewater treatment systems. this will involve undertaking investigations, data collection, planning, report development, design and tender document preparation activities. key responsibilities for this position include but are not limited to:prepare concept, preliminary and detailed designs for civil/water/wastewater/stormwater infrastructure • review, organize and analyze data received• develop design standards• develop reports summarizing the design• prepare and oversee design drawingspreparation of technical specifications, reports and documents • develop specifications, engineering analysis, technical reports, design calculations, and drawings on projects• manage project activities through the application of technical engineering planning, principles and techniques• develop cost estimates for project design and constructioncollaboration and working as part of a team • work in conjunction with peer engineers to solve project design problems, performing basic design calculations as required• liaison with teams working remotely from other parts of the world to facilitate completion of tasks, and projectfollow safe work practices and adhere to company guidelines and policies for planning and executing work in a safe manner. • complete all work in line with stantec core values and in accordance with the stantec quality systems and project quality procedures.• design for safety, i.e. construction design management.other duties as requested from time to time by the project manager. competencies:• 7 years of experience in design and in delivery of large-scale infrastructure projects within the consulting industry• good level of client service management, i.e. able to interface with clients and to build and maintain lasting, positive relationships with our clients• capable to analyze, assess, evaluate issues, complexities pertaining to projects / work packages and support the team lead in mitigating them in advance• rigorous attention to detail, able to understand and adopt workflows and commitment to personal professional development• flexible attitude to accepting different work assignments and pro-active attitude to execution / delivery• working towards chartered/professional engineer• be familiar with the water, wastewater, and flood mitigation design standards in gcc countries• international working experience – gcc region/europe/america (desired)• excellent command in english both written and spoken• the ability to manage a heavy workload, with a close attention to detail• full working knowledge of cad, esri gis and hydraulic modeling software (infowater, infosewer, watergems, sewergems and epanet)• the ability to work autonomously, reviewing your work on a regular basis while consistently meeting your objectives• strong team working capabilities. committed to working with all levels of management on a daily and ongoing basis• a proactive approach, working effectively in coordinating activities and complex tasks, taking professional responsibility in all matters• be of the highest caliber: punctual, attentive, and competent in adhering to stantec’s policies, procedures and working practicestitle:civil design engineer (water)qualifications:• 7 to 10 total years of experience• bachelor’s or master’s degree in civil or environmental engineering (or related)• chartered engineer or professional engineer (or working towards)• design experience in large-scale water/wastewater/tse/storm water systems• working knowledge in hydraulic modelling, model calibration, hydraulics of gravity and pressure networks, optioneering and outline design of hydraulic solutions• have excellent data manipulation abilities (ms excel, ms access)• good skills in gis and cad packages, i.e. qgis, arcgis and autocad\#li-middleeastemployment type: full-timejob type: regularjob category: civil engineeringabout stantec:we’re active members of the communities we serve. that’s why at stantec we always design with community in mind. we believe growing a great design company happens from the inside out. we look for people who are drawn to use every talent they possess, plus creativity, determination and a drive to do the extraordinary.the stantec community unites approximately 22,000 employees working in over 400 locations across six continents. we collaborate across disciplines and industries to bring projects to life. our work as architects, engineers, and consultants from initial project concept and planning through design, construction and commissioning is built on a solid history of success. so, when we take on a project, we see the opportunity to make a lasting connection with the people and places where we live and work. redefine your personal best. join us!location :bahrain-manamacountry:bahrainstate/province:bahraincity:manama
nan",,,Unspecified,Unspecified,, excel
Software Developer,Citi bank,Bahrain,30+ days ago,Other Business Support Services,"security services industry is constantly changing requiring citi to react and plan accordingly.  an analysis has been undertaken to identify a strategic vision in response to a changing landscape.  the business recognises that investment in technology is critical to fulfilling evolving client needs. to that extent, a 5 year transformational strategy is underway focused platform efficiency, consistent global operating model, capabilities, support evolving client needs, data strategy and value added services. single trade gateway is a key component in this strategy to enable consistent and highly scalable instruction processing platform for custody, fund services (middle office and fund accounting) and transfer agency.single trade gateway platform aims to achieve key technology and operation principles including service oriented, api capability, reliable, simple, low latency, multi-instruction, natively aligned to other initiatives including the data strategy, eliminate manual touch points, and use modernized technology stack. single trade gateway will support multiples assets (listed, otc, bank debt …), industry standards formats (fpml, swift, fixml). it will deliver innovation to clients by harnessing the latest technologies, includingreactive micro services based architecturedata lake (central data repository)streamingdistributed cache, …database:  rdbms, nosqlchronicle – low latency platformthis is a great opportunity to work on state-of-the-art stg platform. in this role, the successful candidate will be driving business and operational efficiencies by devising technology architectures and solutions and hands-on coding within the strategic operating platforms. the role will require working closely with various technology, business groups and senior technology managers as well as take the responsibility of delivery of the key business requirements.technical skills:tech lead:  3-6 years’ overall experienceextremely good with micro services tech stackdocker/kubernates/openshiftcloud computingdatabase:  rdbms, nosql (one or more of mongodb, cloudera, hbase, hive…)kafka streamingcore java - server side programming, spring bootexperience in low latency programmingstrong academic recordteam playernice to have: experience implementing event driven architectureml languages: spark/scala, python or reducation:bachelor’s degree/university degree or equivalent experiencethis job description provides a high-level review of the types of work performed. other job-related duties may be assigned as required.-------------------------------------------------job family group: technology-------------------------------------------------job family:applications development------------------------------------------------------time type:full time------------------------------------------------------citi is an equal opportunity and affirmative action employer.qualified applicants will receive consideration without regard to their race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.citigroup inc. and its subsidiaries (""citi”) invite all qualified interested applicants to apply for career opportunities. if you are a person with a disability and need a reasonable accommodation to use our search tools and/or apply for a career opportunity review accessibility at citi.view the ""eeo is the law"" poster. view the eeo is the law supplement.view the eeo policy statement.view the pay transparency posting
nan",,,Unspecified,Unspecified,,
